2650	1536	1000	1481	2653	3357	1909	1116	2815
68	139	38	0	28	58	36	0	44
225	327	40	16	459	70	22	12	5
0	0	0	0	0	5	0	0	5
129	80	88	21	2	56	0	212	49
96	133	229	0	234	602	57	105	137
113	660	143	1	105	78	451	511	308
0	49	11	0	0	0	18	0	0
103	12	14	139	585	66	1	0	1
15	0	0	0	0	0	0	0	7
307	328	276	0	29	24	257	187	54
519	160	35	208	471	275	15	44	92
0	0	0	0	0	0	0	0	0
0	0	0	52	2	0	0	0	52
0	0	7	4	5	29	0	0	58
218	428	730	138	308	64	309	81	842
10	13	1	2	1	4	0	13	79
0	115	0	0	0	0	0	0	0
7	17	1	3	14	13	12	4	7
221	426	122	86	84	48	103	140	282
0	0	0	0	0	0	0	10	4
159	224	100	94	174	60	27	203	2
