14	44	162	70	229
7	5	0	0	18
11	16	208	50	136
0	1	0	32	4
8	28	86	35	26
58	23	76	51	203
6	4	0	0	0
0	0	18	12	1
0	0	0	0	0
19	1	0	16	54
6	40	9	0	9
0	0	0	0	4
9	4	0	7	14
52	57	226	157	147
0	0	0	0	15
2	0	0	0	17
26	69	110	142	119
143	157	285	372	237
0	0	0	0	0
44	2	293	227	94
11	0	7	16	38
0	0	0	0	3
0	0	0	0	0
69	159	353	172	422
48	17	152	91	121
33	0	0	0	71
1	11	1	17	26
0	0	0	0	11
18	32	43	0	31
5	0	0	0	14
