8	19	9	37	24	66	34	1	354	0	838
78	30	19	193	475	328	131	485	2577	282	3036
9	76	31	144	208	171	218	120	1762	20	1
5	0	13	32	0	3	56	13	132	3	113
0	6	10	23	0	0	0	20	108	4	0
0	2	0	0	0	0	0	0	103	0	0
0	0	0	0	0	0	0	0	0	0	0
6	4	0	31	3	0	2	2	263	19	0
0	14	13	0	0	35	33	27	117	163	0
9	4	21	0	42	18	12	48	87	1	400
0	0	0	0	0	0	0	0	0	0	0
2	1	0	13	8	4	12	6	33	0	6
3	14	18	16	41	59	116	10	221	9	0
8	35	1	98	119	86	101	43	650	0	637
25	12	2	60	67	32	15	41	158	79	719
7	7	0	18	34	17	0	3	58	1	543
28	7	10	46	3	0	91	1	133	0	510
12	5	3	63	87	15	78	44	1373	18	363
23	19	31	3	129	12	171	15	386	47	0
0	5	0	0	8	0	0	38	103	0	0
21	3	18	53	134	78	55	28	821	50	870
4	0	37	3	23	0	35	1	517	2	0
0	2	0	0	0	0	0	0	0	0	6
0	0	0	0	3	0	0	0	0	0	0
1	20	21	153	48	20	44	19	296	0	359
24	16	32	35	113	56	13	33	1076	56	108
