56	89	344	232	183	2	88	68	84	159	146	100	52	3	96	403	14	19	455	195	380	360	731
2	1	64	43	0	1	0	0	13	7	48	28	0	0	0	79	5	168	46	3	236	59	138
180	82	642	678	897	27	356	141	189	392	469	391	967	14	139	1076	20	962	1060	412	2101	581	2258
203	95	1060	606	990	43	903	270	283	563	884	650	596	4	566	1506	20	1628	1526	773	2660	1241	2484
133	87	764	744	781	6	14	218	316	599	766	564	1124	24	787	1429	17	102	1630	942	2259	864	2573
67	42	360	381	141	8	20	153	123	211	315	372	0	7	248	731	5	404	1142	487	1154	201	1021
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	2
136	76	1113	434	788	15	155	266	308	588	463	426	435	0	307	989	6	497	936	285	1751	505	2052
0	0	0	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	1	5	0	0	0	0	0	0	0	2	0	0	0	2	2	9	1
53	21	192	108	3	2	1	69	51	52	109	119	0	2	140	444	6	0	204	33	270	99	214
29	32	268	169	167	2	192	109	86	122	288	93	189	4	285	403	16	329	350	116	391	167	559
11	33	221	70	506	1	77	33	52	142	146	72	0	0	110	385	5	413	314	101	71	90	445
7	21	115	11	106	0	1	1	11	36	33	5	13	0	2	59	1	0	11	66	146	37	181
4	2	149	37	32	0	0	16	27	38	48	73	0	1	35	50	0	0	177	6	304	77	399
8	1	14	23	0	0	0	0	7	7	26	7	0	1	0	32	0	0	23	6	85	14	51
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	22	74	94	0	31	0	14	41	22	6	0	2	0	1	1	0	59	0	85	5	77
3	0	5	3	88	0	1	0	11	19	17	7	0	0	27	29	0	0	48	208	16	0	54
16	11	132	0	1	2	0	31	33	61	124	44	0	2	48	224	1	0	280	3	399	31	234
0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	10
0	2	0	0	1	1	3	0	0	2	0	0	0	0	0	4	0	0	1	0	5	2	0
14	4	87	77	4	2	56	0	23	44	44	76	12	0	61	119	3	43	107	18	260	42	241
22	23	317	70	331	0	96	24	62	128	125	97	50	7	61	182	7	4	320	162	346	83	589
21	8	89	103	55	0	32	10	42	77	64	44	69	9	80	143	5	29	183	105	355	115	508
16	34	212	162	141	2	1	0	77	118	138	181	355	0	45	178	3	179	439	118	428	109	445
27	43	276	171	538	2	75	60	122	206	300	33	149	8	326	626	17	0	1080	389	673	537	938
38	35	303	300	81	2	99	47	145	178	193	296	211	7	70	332	3	0	565	20	714	224	1014
12	20	12	22	270	0	0	17	40	95	41	43	0	0	19	96	1	0	225	10	455	0	145
9	3	15	12	22	0	0	10	5	17	19	7	63	0	0	36	0	0	30	1	63	0	44
58	72	416	267	627	25	5	187	109	172	340	257	190	6	113	629	8	50	342	216	1027	316	1093
10	5	141	8	25	0	1	1	22	61	48	62	0	1	60	90	3	0	140	1	110	18	296
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0
9	16	81	49	0	1	63	21	33	76	73	29	165	2	0	144	0	130	99	14	51	45	269
15	14	218	46	86	1	15	1	40	92	76	48	246	1	9	171	2	293	123	65	296	80	407
0	1	0	0	0	0	1	0	4	1	0	12	0	1	0	116	5	0	62	6	3	11	71
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	4	6	0
2	4	0	0	4	0	0	0	6	2	11	0	0	0	95	22	1	576	83	0	0	0	7
