83	149	26	91	0	105	137	0
40	0	0	2	0	5	0	89
77	51	0	2	0	49	165	60
55	42	77	13	0	27	58	0
0	113	463	1	0	70	126	0
257	227	1	159	254	40	156	35
0	0	0	0	0	0	0	0
1	173	0	4	43	16	23	0
4	11	0	9	0	0	0	6
40	146	438	24	0	33	0	0
25	31	0	7	0	0	0	0
16	0	4	0	0	1	0	0
0	11	0	0	0	0	0	0
319	508	502	95	169	147	418	400
37	19	0	0	0	0	0	0
51	157	275	80	0	33	113	52
139	174	407	36	162	183	133	80
282	533	466	254	37	176	389	81
24	0	0	0	0	0	0	0
368	0	0	148	1	127	0	107
0	11	33	32	16	0	0	0
19	0	0	0	0	0	0	57
0	0	0	0	0	1	0	0
954	2503	8601	436	5686	1530	2147	1193
12	257	236	71	661	54	86	317
